Name,Contact-info,Address,Category,area,latitude,longitude,url
Hotel Swagath De Royal,tel:9246534441,"Beside Apollo Medico Care
Address
H No. 2-36,
Kondapur X Road,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 9246268222
40 23000333
40 23001333",HOTEL,kondapur,17.458429,78.366134,/Services/kondapur.html
Hotel Garden View Inn,tel:40 42000604,"Beside State Bank of Mysore
Address
Plot No. 16,
White Fields,
Kondapur,
Hyderabad - 500081
Telangana.",HOTEL,kondapur,17.454259,78.369992,/Services/kondapur.html
Siesta Hitech Hotel,tel:9963937815,"Beside KIMS Hospital
Address
Plot No. 55/E,
Marthanda Nagar, Kothaguda,
Kondapur,
Hyderabad - 500081
Telangana.
40 42420000",HOTEL,kondapur,17.474231,78.363581,/Services/kondapur.html
Siesta Hitech Hotel,tel:9963937815,"Beside KIMS Hospital
Address
Plot No. 55/E,
Marthanda Nagar, Kothaguda,
Kondapur,
Hyderabad - 500081
Telangana.
40 42420000",BUSINESS HOTEL,kondapur,17.474231,78.363581,/Services/kondapur.html
Hotel Garden View Inn,tel:40 42000604,"Beside State Bank of Mysore
Address
Plot No. 16,
White Fields,
Kondapur,
Hyderabad - 500081
Telangana.",BUDGET HOTEL,kondapur,17.454259,78.369992,/Services/kondapur.html
Satya Sree Clinic,tel:40 64644744,"Address
Shop No. 1-55/PP/2, 1st Floor ,
Sri Ram Nagar,
Kondapur,
Hyderabad - 500081
Telangana.",HOSPITAL,kondapur,17.458429,78.366134,/Services/kondapur.html
Dr. Abhilash Raavi,tel:9866587579,"Near Chirec Public School
Address
Heritage Fresh Road,
Kondapur,
Hyderabad - 500081
Telangana.",HOSPITAL,kondapur,17.458429,78.366134,/Services/kondapur.html
Universal Superspeciality Dental Hospital,tel:40 23004558,"Above Sujana Super Market
Address
H. No. 1-6-2/1, Tirumala Subhash Complex,
2nd Floor, Kothaguda X Roads,
Kondapur,
Hyderabad - 500081
Telangana.
40 23004559",HOSPITAL,kondapur,17.458429,78.366134,/Services/kondapur.html
Anceta-The Skin & Orthopaedic Speciality Care,tel:9666309382,"Above Crome Showroom
Address
3rd Floor, Nagarjuna Ikon ,
Near Bajaj Electronics,
Kondapur,
Hyderabad - 500081
Telangana.
40 40209382",HOSPITAL,kondapur,17.458429,78.366134,/Services/kondapur.html
Dr. Challagulla Vijay Kumar,tel:9949232222,"Beside Botanical Gardens
Address
Flat No. 243, Block B,
Kondapur Main Road, Sri Ramnagar,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 8499941111",HOSPITAL,kondapur,17.458429,78.366134,/Services/kondapur.html
Siri Retail Ventures Pvt. Ltd.,+91 8790937998,"Opposite Croma
Address
Shop No. 2, Plot No. 140,
Kondapur,
Hyderabad - 500081
Telangana.
40 42617447",HOME NEED,kondapur,17.458429,78.366134,/Services/kondapur.html
Safe Hands Laundry,+91 40 65810287,"Near Chirec School
Address
Plot No. 1-57/A/12,
Sriram Nagar Colony,
Kondapur,
Hyderabad - 500081
Telangana.",HOME NEED,kondapur,17.458429,78.366134,/Services/kondapur.html
National Furniture & Plywood,+91 9885634522,"Gachibowli X Road,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 7842197563",FURNITURE,kondapur,17.458429,78.366134,/Services/kondapur.html
Prince Wood Handicraft,+91 8790334747,"Opp. Government Hospital
Address
Plot No. 5, B-Block,
Sri Ram Nagar,
Kondapur,
Hyderabad - 500081
Telangana.",FURNITURE,kondapur,17.458429,78.366134,/Services/kondapur.html
Naveen Wood Works,+91 9700168543,"Near to Andhra Bank,
Kondapur,
Hyderabad - 500081
Telangana.",INTERIOR DESIGNERS,kondapur,17.4602,78.3551,/Services/kondapur.html
Happy Homes Designers,+91 9032158338,"Police Battalion Lane, Reliance Fresh
Address
Kondapur X Road,
Kondapur,
Hyderabad - 500081
Telangana.",INTERIOR DESIGNERS,kondapur,17.458429,78.366134,/Services/kondapur.html
Adnaan Wood Work,+91 9701456357,"Opp. Renault Showroom
Address
Shilpa Park,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 9347379745",INTERIOR DESIGNERS,kondapur,17.458429,78.366134,/Services/kondapur.html
Bluebell Interiors,+91 9848911478,"Flat No. 503, Plot No. 2, Survey No. 11,
Surakshaa Signature, Lakshmi Cybercity Road,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 9949964809",INTERIOR DESIGNERS,kondapur,17.458429,78.366134,/Services/kondapur.html
Timbor Cucine,+91 9959593000,"sri ram nagar colony A- block
            Address
            plot no -67A,
            challas mansion,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9959595000",INTERIOR DESIGNERS,kondapur,,,/Services/kondapur.html
