Name,Contact-info,Address,Category,area,latitude,longitude
Hotel Swagath De Royal,tel:9246534441,"Beside Apollo Medico Care
Address
H No. 2-36,
Kondapur X Road,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 9246268222
40 23000333
40 23001333",HOTEL,kondapur,17.458429,78.366134
Hotel Garden View Inn,tel:40 42000604,"Beside State Bank of Mysore
Address
Plot No. 16,
White Fields,
Kondapur,
Hyderabad - 500081
Telangana.",HOTEL,kondapur,17.454259,78.369992
Siesta Hitech Hotel,tel:9963937815,"Beside KIMS Hospital
Address
Plot No. 55/E,
Marthanda Nagar, Kothaguda,
Kondapur,
Hyderabad - 500081
Telangana.
40 42420000",HOTEL,kondapur,17.474231,78.363581
Siesta Hitech Hotel,tel:9963937815,"Beside KIMS Hospital
Address
Plot No. 55/E,
Marthanda Nagar, Kothaguda,
Kondapur,
Hyderabad - 500081
Telangana.
40 42420000",BUSINESS HOTEL,kondapur,17.474231,78.363581
Hotel Garden View Inn,tel:40 42000604,"Beside State Bank of Mysore
Address
Plot No. 16,
White Fields,
Kondapur,
Hyderabad - 500081
Telangana.",BUDGET HOTEL,kondapur,17.454259,78.369992
Satya Sree Clinic,tel:40 64644744,"Address
Shop No. 1-55/PP/2, 1st Floor ,
Sri Ram Nagar,
Kondapur,
Hyderabad - 500081
Telangana.",HOSPITAL,kondapur,17.458429,78.366134
Dr. Abhilash Raavi,tel:9866587579,"Near Chirec Public School
Address
Heritage Fresh Road,
Kondapur,
Hyderabad - 500081
Telangana.",HOSPITAL,kondapur,17.458429,78.366134
Universal Superspeciality Dental Hospital,tel:40 23004558,"Above Sujana Super Market
Address
H. No. 1-6-2/1, Tirumala Subhash Complex,
2nd Floor, Kothaguda X Roads,
Kondapur,
Hyderabad - 500081
Telangana.
40 23004559",HOSPITAL,kondapur,17.458429,78.366134
Anceta-The Skin & Orthopaedic Speciality Care,tel:9666309382,"Above Crome Showroom
Address
3rd Floor, Nagarjuna Ikon ,
Near Bajaj Electronics,
Kondapur,
Hyderabad - 500081
Telangana.
40 40209382",HOSPITAL,kondapur,17.458429,78.366134
Dr. Challagulla Vijay Kumar,tel:9949232222,"Beside Botanical Gardens
Address
Flat No. 243, Block B,
Kondapur Main Road, Sri Ramnagar,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 8499941111",HOSPITAL,kondapur,17.458429,78.366134
Siri Retail Ventures Pvt. Ltd.,+91 8790937998,"Opposite Croma
Address
Shop No. 2, Plot No. 140,
Kondapur,
Hyderabad - 500081
Telangana.
40 42617447",HOME NEED,kondapur,17.458429,78.366134
Safe Hands Laundry,+91 40 65810287,"Near Chirec School
Address
Plot No. 1-57/A/12,
Sriram Nagar Colony,
Kondapur,
Hyderabad - 500081
Telangana.",HOME NEED,kondapur,17.458429,78.366134
National Furniture & Plywood,+91 9885634522,"Gachibowli X Road,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 7842197563",FURNITURE,kondapur,17.458429,78.366134
Prince Wood Handicraft,+91 8790334747,"Opp. Government Hospital
Address
Plot No. 5, B-Block,
Sri Ram Nagar,
Kondapur,
Hyderabad - 500081
Telangana.",FURNITURE,kondapur,17.458429,78.366134
Naveen Wood Works,+91 9700168543,"Near to Andhra Bank,
Kondapur,
Hyderabad - 500081
Telangana.",INTERIOR DESIGNERS,kondapur,17.4602,78.3551
Happy Homes Designers,+91 9032158338,"Police Battalion Lane, Reliance Fresh
Address
Kondapur X Road,
Kondapur,
Hyderabad - 500081
Telangana.",INTERIOR DESIGNERS,kondapur,17.458429,78.366134
Adnaan Wood Work,+91 9701456357,"Opp. Renault Showroom
Address
Shilpa Park,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 9347379745",INTERIOR DESIGNERS,kondapur,17.458429,78.366134
Bluebell Interiors,+91 9848911478,"Flat No. 503, Plot No. 2, Survey No. 11,
Surakshaa Signature, Lakshmi Cybercity Road,
Kondapur,
Hyderabad - 500081
Telangana.

Telephone: 9949964809",INTERIOR DESIGNERS,kondapur,17.458429,78.366134
Timbor Cucine,+91 9959593000,"sri ram nagar colony A- block
            Address
            plot no -67A,
            challas mansion,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9959595000",INTERIOR DESIGNERS,kondapur,,
Prince Wood Handicraft,+91 8790334747,"Opp. Government Hospital
            Address
            Plot No. 5, B-Block,
            Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9000290766",INTERIOR DESIGNERS,kondapur,,
Vibrant Interiors,+91 9949885558,"RTA Office
            Address
            Flat No. 7, 3rd Floor,
            SK Building, Bikshapathi Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",INTERIOR DESIGNERS,kondapur,17.458429,78.366134
Croma Electronics,+91 9676570077,"Beside Karur Vysya Bank
            Address
            Plot No. 5 & 6,
            Nagarjuna Ikon,
            Kondapur,
            Hyderabad - 500081
            Telangana.",HOME APPLIANCES,kondapur,17.458429,78.366134
Adishwar Electro World,+91 40 42027961,"Opposite Botanic Garden
            Address
            GHMC No.2-91/68/TH/687,
            Kondapur,
            Hyderabad - 500081
            Telangana.",HOME APPLIANCES,kondapur,17.458429,78.366134
Honesty Cooling Services,+91 9912305587,"Railway Station
            Address
            Shop No. 49,
            New Hafeezpet, Aditya Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9700721668",HOME APPLIANCES,kondapur,,
Sri Dandagunda Electrical Services,+91 9700045835,"Gem Motor Service
            Address
            No. 2,
            Raghavendra Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9394030384",HOME APPLIANCES,kondapur,,
B S Electronics,+91 8523047555,"Bus Stand
            Address
            Shop No. 2-41/14A,
            Kondapur Cross Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.",HOME APPLIANCES,kondapur,17.45825608,78.36929915
Cyber Electrical & Electronics,+91 9885114215,"Tsp Camp
            Address
            No. 1-111/2/2/1,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 8801074142",HOME APPLIANCES,kondapur,17.458429,78.366134
Hi Tech Refrigeration & Air Condition,+91 9949518496,"Anand Nagar Bus Stand
            Address
            No. 142 Masjid,
            Complex Anand Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 7386207459",HOME APPLIANCES,kondapur,,
Deepak Electric Works,+91 9177909740,"Kondapur Rto Office
            Address
            No. 1/110A/9A,
            Gopal Reddy Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",HOME APPLIANCES,kondapur,17.473172,78.363583
Studio 11,+91 7569696990,"Near Botanical gardens
            Address
            2nd Floor, Shivam Complex,
            Above Andhra Bank, Sairam Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana",SPA & SALON,kondapur,,
Tarash Family Salon & Spa,+91 7893782623,"Above Croma Showroom
            Address
            2nd Floor, Nagarjuna Ikon,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.458429,78.366134
Green Trends Unisex Hair & Style Salon,+91 7702888070,"H-No. 1-60/30/9/5/9 & 1-60/30/10,
            Miyapur Main Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9010155515",SPA & SALON,kondapur,,
VLCC Health Care Limited,+91 40 23370708,"Opposite Jayabheri Silicon County
            Address
            Shop No. 291/14/9/2,
            Upper Ground Floor, Bhasker Empire,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,,
Rejoice Beauty Saloon,+91 8688277776,"Area Hospital
            Address
            Flat 8A,
            Chirag Public School Lane,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            040 32572255",SPA & SALON,kondapur,17.458429,78.366134
Lakme Saloon,+91 40 65526555,"Beside Google
            Address
            Flat No. 201, 1st Floor,
            SMR Vinay Techno polis,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.458429,78.366134
Naturals Hair & Beauty Salon,+91 9092626262,"Beside Google
            Address
            Flat-No. 202,
            SMR Vinay Technopolis,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.458429,78.366134
ABC Saloon,+91 8977994747,"Near Chirec Public School
            Address
            H.No. 1-57/27,
            Plot No. 27, KP Plaza,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.458429,78.366134
Saffron's Family Salon & Spa,+91 9966988713,"Above Rathadeep Super Market
            Address
            2nd Floor,
            Ektha Pearl, Kothaguda,
            Kondapur,
            Hyderabad - 500081
            Telangana.",SPA & SALON,kondapur,17.474231,78.363581
The Chocolate Room,+91 7032737394,"Beside Heritage Fresh Supermarket
            Address
            Shop No. G1,
            Lake View Hitech,
            Kondapur,
            Hyderabad - 500081
            Telangana.",CAFE,kondapur,17.458429,78.366134
Barista Espresso Bar,+91 9059980025,"Beside Subway
            Address
            Survey No. 13,
            S.M.R. Vinay Technopoll, Hi Tech City,
            Kondapur,
            Hyderabad - 500081
            Telangana.",CAFE,kondapur,17.458429,78.366134
Dr. Abhilash Raavi,+91 9866587579,"Near Chirec Public School
            Address
            Heritage Fresh Road,
            Kondapur,
            Hyderabad - 500081
            Telangana",DENTAL CLINIC,kondapur,17.458429,78.366134
Partha Dental,+91 40 64611077,"Opp. Leaf Hospitals
            Address
            H. No. 2-41/A/1, Plot No. 145/1, 1st Floor,
            Kondapur Main Road, Near by Toyota Showroom,
            Kondapur,
            Hyderabad - 500081
            Telangana.",DENTAL CLINIC,kondapur,,
Dr. Challagulla Vijay Kumar,+91 9949232222,"Beside Botanical Gardens
            Address
            Flat No. 243, Block B,
            Kondapur Main Road, Sri Ramnagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 8499941111",DENTAL CLINIC,kondapur,,
Vijay Dental Hospital,+91 9640662000,"Above Ratnadeep Super Market
            Address
            2nd Floor,
            Kothaguda X Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            40 40216155",DENTAL CLINIC,kondapur,,
Universal Superspeciality Dental Hospital,+91 40 23004558,"Above Sujana Super Market
            Address
            H. No. 1-6-2/1, Tirumala Subhash Complex,
            2nd Floor, Kothaguda X Roads,
            Kondapur,
            Hyderabad - 500081
            Telangana.",DENTAL CLINIC,kondapur,,
Satya Sree Clinic,+91 40 64644744,"Shop No. 1-55/PP/2, 1st Floor ,
            Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",DENTAL CLINIC,kondapur,17.46173801,78.35208301
National Furniture & Plywood,+91 9885634522,"Gachibowli X Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 7842197563",FURNITURE,kondapur,17.458429,78.366134
Prince Wood Handicraft,+91 8790334747,"Opp. Government Hospital
            Address
            Plot No. 5, B-Block,
            Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 9000290766",FURNITURE,kondapur,,
Rize Up Gym,+91 9985644264,"Kothguda X Road,
            Kondapur,
            Kondapur,
            Hyderabad - 500081
            Telangana.",GYM,kondapur,17.458429,78.366134
The Gymnasium Personal Fitness Studio,+91 9581369261,"Plot No:.117/A,
            Mashjid Band, Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",GYM,kondapur,17.458429,78.366134
Fitness One Gym,+91 40 40184455,"Opp. Botanical Garden
            Address
            Plot No. 5, Park View Building ,
            2nd Floor, Above Heritage Fresh, Whitefields,
            Kondapur,
            Hyderabad - 500081
            Telangana.",GYM,kondapur,,
The Chocolate Room,+91 7032737394,"Beside Heritage Fresh Supermarket
            Address
            Shop No. G1,
            Lake View Hitech,
            Kondapur,
            Hyderabad - 500081
            Telangana.",ICECREAM CENTER,kondapur,17.458429,78.366134
Lords Ocean Cold Stone,+91 7207144455,"Shop No. 13,
            Beside Google Office,
            Kondapur,
            Hyderabad - 500081
            Telangana",ICECREAM CENTER,kondapur,17.408184,78.449607
Scoops Ice Cream Parlour,+91 9390033008,"Opposite Eye Way Opticals
            Address
            Sriram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",ICECREAM CENTER,kondapur,17.458429,78.366134
Kakes N Krisps Bakery,+91 9849872668,"Opposite Appolo Clinic
            Address
            H No. 2-26,
            Kothaguda,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            40 64571188
            40 64571199",ICECREAM CENTER,kondapur,,
Baskin Robbins Bakery,+91 9177115520,"Next To Chirec Public School
            Address
            Plot No. 1-57/2, A Block,
            Sriram Nagar Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana.",ICECREAM CENTER,kondapur,17.458429,78.366134
Rishab Jewellers,+91 9885507221,"Near 8th Battalion
            Address
            D No. 2-41/4,
            Kothaguda,
            Kondapur,
            Hyderabad - 500081
            Telangana.",JEWELLERY SHOP,kondapur,17.474231,78.363581
R.R Jewellers,+91 9550845141,"Near Chirec Public School
            Address
            Sri Ram Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana.",JEWELLERY SHOP,kondapur,17.458429,78.366134
Venkat Sai Medical Stores,+91 9440410631,"Harsha Toyota
            Address
            Door No. 2-41/15/A,
            Hafeezpet Road,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            40 23000610",MEDICAL SHOP,kondapur,17.458429,78.366134
Sangeeta Mobile Private Limited,+91 9951279666,"Opposite Honda Show Room
            Address
            Shop No. 2-4-1/11,
            Kothaguda,
            Kondapur,
            Hyderabad - 500081
            Telangana.",MOBILE SHOP,kondapur,17.474231,78.363581
Mobile Hub,+91 9700686736,"Near Chirec School
            Address
            Shop No. 7/136,
            Anjayya Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",MOBILE SHOP,kondapur,17.458429,78.366134
Value Mart Super Market,+91 040 65656033,"Botanical Garden
            Address
            Plot No. 37, 38 & 39,
            Sri Ram Nagar,
            Kondapur,
            Hyderabad - 500081
            Telangana.",GROCERY,kondapur,17.464045,78.35555396
Sri Vinayaka Kirana & General Store,+91 9949506465,"Opposite Renault Showroom
            Address
            Kondapur X Raods,
            Kondapur,
            Hyderabad - 500081
            Telangana.
            
            Telephone: 8897899146",GROCERY,kondapur,17.458429,78.366134
Safe Hands Laundry,+91 40 65810287,"Near Chirec School
            Address
            Plot No. 1-57/A/12,
            Sriram Nagar Colony,
            Kondapur,
            Hyderabad - 500081
            Telangana.",LAUNDRY,kondapur,17.458429,78.366134
Eeshwar Illu,tel:40 40072222,"Near Forum Sujana Mall
Address
Plot No. 20/10,
KPHB 6th Phase,
Kukatpally,
Hyderabad - 500072
Telangana.
40 40073333",HOTEL,Kukatpally,17.5030765,78.4041699
Hotel One Place,tel:8008758899,"Beside KPHB Bus Stop
Address
D. No. 2-22-298/7/2,
Kukatpally,
Hyderabad - 500072
Telangana.
40 44558899",HOTEL,Kukatpally,17.5030765,78.4041699
Balaji Residency,tel:9246399912,"Near Forum Sujana Mall
Address
Hotel Ring View Building, 2nd Floor, Beside Rajiv Gandhi Circle,
KPHB 6th Phase,
Kukatpally,
Hyderabad - 500072
Telangana.
40 23156633
40 23156644",HOTEL,Kukatpally,17.5030765,78.4041699
